@RELATION interest

@ATTRIBUTE previousWord3 string
@ATTRIBUTE previousWord3_type string
@ATTRIBUTE previousWord2 string
@ATTRIBUTE previousWord2_type string
@ATTRIBUTE previousWord1 string
@ATTRIBUTE previousWord1_type string
@ATTRIBUTE nextWord1 string
@ATTRIBUTE nextWord1_type string
@ATTRIBUTE nextWord2 string
@ATTRIBUTE nextWord2_type string
@ATTRIBUTE nextWord3 string
@ATTRIBUTE nextWord3_type string
@ATTRIBUTE class {1,2,3,4,5,6}

@DATA
increase,VB,NULL,NULL,uXkX,NP,rates,NNS,NULL,NULL,when,WRB,6
NULL,NULL,all,PDT,the,DT,NULL,NULL,NULL,NULL,that,DT,6
NULL,NULL,including,VBG,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,could,MD,be,VB,6
on,IN,NULL,NULL,the,DT,NULL,NULL,NULL,NULL,the,DT,6
allowing,VBG,NULL,NULL,the,DT,buildup,NN,NULL,NULL,on,IN,6
to,TO,NULL,NULL,minority,NN,NULL,NULL,X,X,NULL,NULL,5
showed,VBN,NULL,NULL,little,JJ,NULL,NULL,in,IN,buying,VBG,1
separating,VBG,NULL,NULL,the,DT,payment,NN,portion,NN,NULL,NULL,6
pay,VBP,NULL,NULL,no,DT,NULL,NULL,until,IN,NULL,NULL,6
and,CC,NULL,NULL,economic,JJ,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,NULL,NULL,our,'PP\S',NULL,NULL,lies,VBZ,in,IN,4
NULL,NULL,a,DT,keen,JJ,NULL,NULL,in,IN,NULL,NULL,1
especially,RB,NULL,NULL,keen,JJ,NULL,NULL,in,IN,NULL,NULL,1
toward,IN,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,X,X,6
has,VBZ,let,VBN,NULL,NULL,rates,NNS,NULL,NULL,slip,VBP,6
while,IN,NULL,NULL,bronfman,NP,NULL,NULL,hold,VBP,about,IN,5
NULL,NULL,NULL,NULL,free-speech,NN,NULL,NULL,outweighed,VBD,NULL,NULL,4
outweighed,VBD,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,the,DT,public,JJ,NULL,NULL,in,IN,NULL,NULL,4
that,IN,NULL,NULL,public,JJ,NULL,NULL,in,IN,NULL,NULL,1
to,TO,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,a,DT,dividend,NN,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,a,DT,dividend,NN,NULL,NULL,in,IN,NULL,NULL,5
full,JJ,payment,NN,including,VBG,NULL,NULL,to,TO,NULL,NULL,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,of,IN,about,IN,6
NULL,NULL,for,IN,NULL,NULL,NULL,NULL,since,IN,then,RB,6
accrued,VBN,NULL,NULL,unpaid,JJ,NULL,NULL,equal,JJ,to,TO,6
unsecured,JJ,creditors,NNS,NULL,NULL,NULL,NULL,accrued,VBN,since,IN,6
aroused,VBN,NULL,NULL,much,JJ,NULL,NULL,in,IN,NULL,NULL,1
plenty,RB,of,IN,NULL,NULL,NULL,NULL,from,IN,NULL,NULL,1
to,TO,cut,VB,NULL,NULL,rates,NNS,NULL,NULL,to,TO,6
to,TO,lower,VB,NULL,NULL,rates,NNS,NULL,NULL,at,IN,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,and,CC,NULL,NULL,6
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
or,CC,NULL,NULL,stable,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
will,MD,lose,VB,NULL,NULL,NULL,NULL,from,IN,NULL,NULL,6
to,TO,earn,VB,NULL,NULL,NULL,NULL,for,IN,NULL,NULL,6
NULL,NULL,lower,JJR,short-term,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
posting,VBG,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,since,IN,6
when,WRB,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,were,VBD,6
NULL,NULL,plus,CC,NULL,NULL,NULL,NULL,NULL,NULL,has,VBZ,6
up,IN,NULL,NULL,its,'PP\S',income,NN,NULL,NULL,X,X,6
with,IN,NULL,NULL,great,JJ,NULL,NULL,NULL,NULL,since,IN,1
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,IN,6
suggesting,VBG,NULL,NULL,an,DT,NULL,NULL,in,IN,looking,VBG,1
NULL,NULL,and,CC,NULL,NULL,income,NN,NULL,NULL,X,X,6
would,MD,defer,VB,NULL,NULL,NULL,NULL,and,CC,NULL,NULL,6
'\'s',POS,annual,JJ,cash,NN,bill,NN,NULL,NULL,from,IN,6
pay,VB,NULL,NULL,that,DT,bill,NN,NULL,NULL,NULL,NULL,6
ignoring,VBG,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
not,RB,pay,VB,NULL,NULL,NULL,NULL,periodically,RB,X,X,6
for,IN,NULL,NULL,current,JJ,bonds,NNS,due,JJ,NULL,NULL,6
protection,NN,program,NN,current,JJ,bonds,NNS,NULL,NULL,are,VBP,6
recreation,NN,program,NN,current,JJ,bonds,NNS,NULL,NULL,are,VBP,6
its,'PP\S',NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
of,IN,NULL,NULL,active,JJ,NULL,NULL,beyond,IN,NULL,NULL,1
by,IN,NULL,NULL,family,NN,NULL,NULL,NULL,NULL,NULL,NULL,5
NULL,NULL,the,DT,best,JJS,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,in,IN,NULL,NULL,expense,NN,NULL,NULL,and,CC,6
to,TO,NULL,NULL,minority,NN,NULL,NULL,X,X,NULL,NULL,5
of,IN,NULL,NULL,its,'PP\S',NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
and,CC,NULL,NULL,japanese,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,1
NULL,NULL,including,VBG,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,earned,VBN,on,IN,6
expressed,VBN,NULL,NULL,an,DT,NULL,NULL,in,IN,cutting,VBG,1
NULL,NULL,the,DT,average,JJ,rate,NN,NULL,NULL,rose,VBD,6
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
43X75,AB,NULL,NULL,working,VBG,NULL,NULL,NULL,NULL,and,CC,5
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,and,CC,5
to,TO,NULL,NULL,minority,NN,NULL,NULL,rose,VBD,to,TO,5
NULL,NULL,on,IN,NULL,NULL,rates,NNS,NULL,NULL,backfired,VBD,6
for,IN,NULL,NULL,their,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
forfeit,VB,NULL,NULL,some,DT,income,NN,NULL,NULL,X,X,6
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
for,IN,NULL,NULL,consumer,NN,NULL,NULL,NULL,NULL,NULL,NULL,4
seeks,VBZ,NULL,NULL,late-payment,NN,NULL,NULL,because,IN,of,IN,6
should,MD,request,VB,NULL,NULL,abatement,NN,NULL,NULL,NULL,NULL,6
deduct,VB,NULL,NULL,home-mortgage,JJ,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
a,DT,substantial,JJ,government,NN,NULL,NULL,and,CC,are,VBP,4
of,IN,NULL,NULL,special,JJ,magazines,NNS,NULL,NULL,X,X,3
NULL,NULL,the,DT,idosyncratic,JJ,NULL,NULL,of,IN,NULL,NULL,3
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,a,DT,minority,NN,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,a,DT,low,JJ,rate,NN,NULL,NULL,NULL,NULL,6
of,IN,NULL,NULL,all,DT,costs,NNS,NULL,NULL,while,IN,6
NULL,NULL,NULL,NULL,NULL,NULL,costs,NNS,NULL,NULL,would,MD,6
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,among,IN,NULL,NULL,3
NULL,NULL,the,DT,narrow,JJ,NULL,NULL,of,IN,NULL,NULL,4
serve,VB,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
have,VBP,NULL,NULL,common,JJ,NULL,NULL,and,CC,can,MD,3
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
recent,JJ,otc,NP,short,JJ,statistics,NNS,NULL,NULL,were,VBD,5
NULL,NULL,the,DT,short,JJ,figures,NNS,NULL,NULL,reported,VBN,5
the,DT,total,JJ,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,otc,NP,short,JJ,NULL,NULL,compares,VBZ,with,IN,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,NULL,NULL,NULL,NULL,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,rose,VBD,to,TO,5
NULL,NULL,large,JJ,short,JJ,gains,NNS,NULL,NULL,as,IN,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
intel,NP,'\'s',POS,short,JJ,NULL,NULL,jumped,VBD,NULL,NULL,5
the,DT,biggest,JJS,short,JJ,position,NN,NULL,NULL,on,IN,5
in,IN,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,their,'PP\S',short,JJ,surge,NN,NULL,NULL,X,X,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
in,IN,NULL,NULL,short,JJ,NULL,NULL,included,VBD,NULL,NULL,5
compiles,VBZ,NULL,NULL,short,JJ,data,NNS,NULL,NULL,in,IN,5
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,in,IN,NULL,NULL,5
the,DT,october,NP,short,JJ,NULL,NULL,represents,VBZ,NULL,NULL,5
NULL,NULL,a,DT,short,JJ,position,NN,NULL,NULL,of,IN,5
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,NULL,NULL,while,IN,6
NULL,NULL,and,CC,NULL,NULL,rates,NNS,NULL,NULL,tend,VBP,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,picks,VBZ,up,RP,1
of,IN,NULL,NULL,current,JJ,bonds,NNS,due,JJ,NULL,NULL,6
with,IN,NULL,NULL,current,JJ,bonds,NNS,due,JJ,NULL,NULL,6
NULL,NULL,NULL,NULL,current,JJ,serial,NN,bonds,NNS,NULL,NULL,6
NULL,NULL,NULL,NULL,NULL,NULL,rates,NNS,NULL,NULL,generally,RB,6
NULL,NULL,and,CC,NULL,NULL,rate,NN,trends,NNS,NULL,NULL,6
and,CC,reduce,VB,NULL,NULL,costs,NNS,NULL,NULL,at,IN,6
to,TO,ease,VB,NULL,NULL,rates,NNS,NULL,NULL,before,IN,6
by,IN,NULL,NULL,higher,JJR,expense,NN,NULL,NULL,and,CC,6
combustion,NP,'\'s',POS,minority,NN,NULL,NULL,in,IN,NULL,NULL,5
on,IN,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,and,CC,6
of,IN,NULL,NULL,institutional,JJ,NULL,NULL,later,RB,in,IN,1
attract,VB,NULL,NULL,some,DT,NULL,NULL,NULL,NULL,but,CC,1
NULL,NULL,continental,JJ,european,JJ,NULL,NULL,in,IN,NULL,NULL,1
spark,VB,NULL,NULL,investor,NN,NULL,NULL,because,IN,NULL,NULL,1
acquires,VBZ,NULL,NULL,its,'PP\S',NULL,NULL,X,X,NULL,NULL,5
rising,VBG,NULL,NULL,australian,JJ,rates,NNS,NULL,NULL,and,CC,6
and,CC,NULL,NULL,oil,NN,NULL,NULL,might,MD,be,VB,5
NULL,NULL,the,DT,oil,NN,NULL,NULL,already,RB,have,VBP,5
NULL,NULL,its,'PP\S',cash,NN,bill,NN,NULL,NULL,NULL,NULL,6
plus,CC,accrued,VBN,NULL,NULL,NULL,NULL,to,TO,NULL,NULL,6
to,TO,cut,VB,NULL,NULL,rates,NNS,NULL,NULL,amid,IN,6
to,TO,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,by,IN,NULL,NULL,1
NULL,NULL,and,CC,NULL,NULL,rates,NNS,NULL,NULL,will,MD,6
drum,VB,up,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
of,IN,NULL,NULL,falling,VBG,rates,NNS,NULL,NULL,X,X,6
NULL,NULL,a,DT,true,JJ,cost,NN,NULL,NULL,of,IN,6
NULL,NULL,but,CC,NULL,NULL,NULL,NULL,and,CC,NULL,NULL,6
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,increased,VBD,NULL,NULL,5
of,IN,NULL,NULL,the,DT,NULL,NULL,connected,VBN,with,IN,1
be,VB,losing,VBG,NULL,NULL,NULL,NULL,in,IN,giving,VBG,1
the,DT,company,NN,'\'s',POS,NULL,NULL,in,IN,acquiring,VBG,1
NULL,NULL,gm,NP,'\'s',POS,NULL,NULL,in,IN,NULL,NULL,1
remaining,VBG,NULL,NULL,one-third,JJ,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,the,DT,majority,NN,last,JJ,year,NN,NULL,NULL,5
NULL,NULL,as,IN,NULL,NULL,rates,NNS,NULL,NULL,fall,VBP,6
faster,RBR,than,IN,NULL,NULL,rates,NNS,NULL,NULL,will,MD,6
pursue,VB,NULL,NULL,other,JJ,NULL,NULL,X,X,NULL,NULL,3
NULL,NULL,when,WRB,NULL,NULL,rates,NNS,NULL,NULL,came,VBD,6
NULL,NULL,and,CC,NULL,NULL,rates,NNS,NULL,NULL,in,IN,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,were,VBD,NULL,NULL,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,accrued,VBN,to,TO,6
NULL,NULL,the,DT,year,NN,NULL,NULL,is,VBZ,accrued,VBN,6
to,TO,lower,VB,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
that,IN,NULL,NULL,NULL,NULL,rates,NNS,NULL,NULL,are,VBP,6
would,MD,return,VB,NULL,NULL,rates,NNS,NULL,NULL,to,TO,6
bellwether,NN,federal,JJ,funds,NNS,rate,NN,NULL,NULL,to,TO,6
of,IN,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,5
NULL,NULL,as,IN,NULL,NULL,rates,NNS,NULL,NULL,paid,VBD,6
NULL,NULL,and,CC,NULL,NULL,expense,NN,NULL,NULL,X,X,6
NULL,NULL,before,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
cool,VB,banks,NNS,NULL,NULL,NULL,NULL,in,IN,financing,VBG,1
NULL,NULL,and,CC,NULL,NULL,rates,NNS,NULL,NULL,NULL,NULL,6
includes,VBZ,NULL,NULL,current,JJ,bonds,NNS,due,JJ,NULL,NULL,6
NULL,NULL,the,DT,current,JJ,serial,NN,bonds,NNS,NULL,NULL,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
diverted,VBN,to,TO,NULL,NULL,payments,NNS,NULL,NULL,X,X,6
NULL,NULL,whose,'WP\S',sole,JJ,NULL,NULL,and,CC,NULL,NULL,3
mixte,NP,'\'s',POS,insurance,NN,NULL,NULL,NULL,NULL,acquired,VBN,5
the,DT,insurance,NN,NULL,NULL,NULL,NULL,it,PP,NULL,NULL,5
ikegai,NP,corpX,NP,'\'s',POS,NULL,NULL,in,IN,NULL,NULL,5
to,TO,lower,VB,NULL,NULL,rates,NNS,NULL,NULL,in,IN,6
shown,VBN,NULL,NULL,much,JJ,NULL,NULL,in,IN,NULL,NULL,1
in,IN,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
would,MD,have,VB,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
would,MD,accrue,VB,NULL,NULL,NULL,NULL,at,IN,NULL,NULL,6
on,IN,NULL,NULL,immediate,JJ,payments,NNS,NULL,NULL,NULL,NULL,6
after,IN,NULL,NULL,missing,VBG,payments,NNS,NULL,NULL,on,IN,6
receiving,VBG,NULL,NULL,investor,NN,NULL,NULL,for,IN,NULL,NULL,1
NULL,NULL,that,IN,NULL,NULL,rates,NNS,NULL,NULL,have,VBP,6
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
NULL,NULL,NULL,NULL,NULL,NULL,income,NN,NULL,NULL,rose,VBD,6
NULL,NULL,annualized,JJ,NULL,NULL,rates,NNS,NULL,NULL,on,IN,6
NULL,NULL,the,DT,new-found,JJ,NULL,NULL,NULL,NULL,more,JJR,1
of,IN,NULL,NULL,current,JJ,rates,NNS,NULL,NULL,in,IN,6
NULL,NULL,high,JJ,australian,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,before,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
have,VBP,NULL,NULL,an,DT,NULL,NULL,X,X,NULL,NULL,5
have,VBP,shown,VBN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
increasing,VBG,NULL,NULL,its,'PP\S',expense,NN,NULL,NULL,and,CC,6
of,IN,NULL,NULL,hefty,JJ,payments,NNS,NULL,NULL,X,X,6
on,IN,NULL,NULL,some,DT,payments,NNS,NULL,NULL,and,CC,6
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,primarily,RB,in,IN,5
NULL,NULL,various,JJ,family,NN,NULL,NULL,X,X,NULL,NULL,5
has,VBZ,excited,VBN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,lost,VBD,NULL,NULL,NULL,NULL,as,IN,NULL,NULL,1
retains,VBZ,NULL,NULL,an,DT,NULL,NULL,in,IN,acquiring,VBG,1
'n\'t',RB,NULL,NULL,any,DT,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,accrued,VBN,from,IN,6
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
preserving,VBG,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,the,DT,net,JJ,bill,NN,NULL,NULL,jumped,VBD,6
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,before,IN,NULL,NULL,NULL,NULL,and,CC,NULL,NULL,6
not,RB,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,or,CC,6
NULL,NULL,believe,VBP,NULL,NULL,rates,NNS,NULL,NULL,will,MD,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,buying,VBG,1
NULL,NULL,NULL,NULL,his,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
a,DT,62X5,AB,NULL,NULL,NULL,NULL,NULL,NULL,with,IN,5
NULL,NULL,over,IN,NULL,NULL,rates,NNS,NULL,NULL,and,CC,6
will,MD,allow,VB,NULL,NULL,rates,NNS,NULL,NULL,to,TO,6
NULL,NULL,that,IN,NULL,NULL,rates,NNS,NULL,NULL,would,MD,6
NULL,NULL,plus,CC,NULL,NULL,income,NN,NULL,NULL,X,X,6
NULL,NULL,as,IN,NULL,NULL,rates,NNS,NULL,NULL,fall,VBP,6
with,IN,NULL,NULL,strong,JJ,NULL,NULL,abroad,RB,NULL,NULL,1
cut,VB,NULL,NULL,the,DT,rate,NN,NULL,NULL,on,IN,6
off,RP,NULL,NULL,its,'PP\S',NULL,NULL,in,IN,NULL,NULL,5
to,TO,let,VB,NULL,NULL,rates,NNS,NULL,NULL,drift,VB,6
at,IN,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,and,CC,6
its,'PP\S',NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
whipped,VBN,up,RP,NULL,NULL,NULL,NULL,among,IN,NULL,NULL,1
NULL,NULL,a,DT,special,JJ,NULL,NULL,in,IN,NULL,NULL,4
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,earlier,RBR,6
to,TO,increase,VB,NULL,NULL,rates,NNS,NULL,NULL,again,RB,6
decide,VB,on,IN,NULL,NULL,rates,NNS,NULL,NULL,and,CC,6
generally,RB,NULL,NULL,thin,JJ,NULL,NULL,ahead,RB,of,IN,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,may,MD,remain,VB,1
'\'s',POS,high,JJ,short-term,JJ,rates,NNS,NULL,NULL,X,X,6
on,IN,NULL,NULL,bank,NN,rates,NNS,NULL,NULL,to,TO,6
use,VB,NULL,NULL,its,'PP\S',NULL,NULL,as,IN,NULL,NULL,5
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
receive,VB,NULL,NULL,minority,NN,NULL,NULL,in,IN,NULL,NULL,5
a,DT,controlling,JJ,ownership,NN,NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,other,JJ,business,NN,NULL,NULL,NULL,NULL,NULL,NULL,3
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
well,RB,as,IN,NULL,NULL,NULL,NULL,from,IN,NULL,NULL,1
abandoned,VBN,NULL,NULL,their,'PP\S',NULL,NULL,X,X,NULL,NULL,4
in,IN,NULL,NULL,the,DT,NULL,NULL,of,IN,protecting,VBG,4
of,IN,NULL,NULL,investor,NN,NULL,NULL,NULL,NULL,were,VBD,1
NULL,NULL,solid,JJ,investor,NN,NULL,NULL,X,X,NULL,NULL,1
was,VBD,NULL,NULL,little,JJ,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,greater,JJR,buying,NN,NULL,NULL,for,IN,NULL,NULL,1
sparked,VBD,buying,NN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
representing,VBG,NULL,NULL,their,'PP\S',NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,significant,JJ,buying,NN,NULL,NULL,X,X,NULL,NULL,1
NULL,NULL,fresh,JJ,buying,NN,NULL,NULL,was,VBD,sidelined,VBN,1
NULL,NULL,strong,JJ,buying,NN,NULL,NULL,NULL,NULL,helped,VBD,1
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
in,IN,NULL,NULL,national,JJ,NULL,NULL,because,IN,NULL,NULL,2
NULL,NULL,NULL,NULL,whose,'WP\S',NULL,NULL,are,VBP,represented,VBN,5
NULL,NULL,NULL,NULL,considerable,JJ,NULL,NULL,NULL,NULL,from,IN,1
NULL,NULL,the,DT,uXsX,NP,NULL,NULL,at,IN,NULL,NULL,4
NULL,NULL,accumulate,VBP,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,6
mention,VB,NULL,NULL,his,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,japanese,JJ,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,buying,NN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,will,MD,6
NULL,NULL,the,DT,general,JJ,magazine,NN,NULL,NULL,is,VBZ,3
NULL,NULL,NULL,NULL,black,JJ,NULL,NULL,NULL,NULL,could,MD,4
many,JJ,different,JJ,economic,JJ,NULL,NULL,X,X,NULL,NULL,3
to,TO,NULL,NULL,his,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,overall,JJ,buying,NN,NULL,NULL,remained,VBD,strong,JJ,1
and,CC,NULL,NULL,minority,NN,NULL,NULL,but,CC,before,IN,5
while,IN,NULL,NULL,uXsX,NP,NULL,NULL,may,MD,be,VB,1
the,DT,uXsX,NP,'\'s',POS,NULL,NULL,in,IN,NULL,NULL,4
NULL,NULL,usual,JJ,financial,JJ,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,for,IN,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,set,VBN,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,to,TO,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,or,CC,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,already,RB,4
conflicts,NNS,of,IN,NULL,NULL,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,of,IN,NULL,NULL,standard,NN,NULL,NULL,for,IN,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
NULL,NULL,in,IN,NULL,NULL,expense,NN,NULL,NULL,NULL,NULL,6
in,IN,NULL,NULL,scientific,JJ,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
of,IN,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,and,CC,6
bonds,NNS,NULL,NULL,fixed-dollar,JJ,payments,NNS,NULL,NULL,X,X,6
had,VBD,NULL,NULL,an,DT,NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,all,DT,their,'PP\S',NULL,NULL,at,IN,NULL,NULL,6
NULL,NULL,and,CC,NULL,NULL,rates,NNS,NULL,NULL,kick,VBP,6
without,IN,NULL,NULL,much,JJ,NULL,NULL,if,IN,NULL,NULL,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,and,CC,NULL,NULL,6
or,CC,NULL,NULL,an,DT,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,sold,VBN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
based,VBN,on,IN,NULL,NULL,rates,NNS,NULL,NULL,that,IN,6
NULL,NULL,any,DT,high,JJ,rate,NN,NULL,NULL,prevail,VB,6
only,RB,if,IN,NULL,NULL,rates,NNS,NULL,NULL,stay,VBP,6
NULL,NULL,if,IN,NULL,NULL,rates,NNS,NULL,NULL,plunge,VBP,6
marginally,RB,NULL,NULL,higher,JJR,yield,NN,NULL,NULL,NULL,NULL,6
fractionally,RB,NULL,NULL,higher,JJR,rate,NN,NULL,NULL,X,X,6
NULL,NULL,buying,NN,NULL,NULL,NULL,NULL,also,RB,resurfaced,VBD,1
using,VBG,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,as,IN,6
using,VBG,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,to,TO,6
NULL,NULL,of,IN,NULL,NULL,rates,NNS,NULL,NULL,over,IN,6
now,RB,NULL,NULL,the,DT,NULL,NULL,is,VBZ,in,IN,1
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,NULL,NULL,short,JJ,NULL,NULL,on,IN,NULL,NULL,5
of,IN,NULL,NULL,short,JJ,NULL,NULL,X,X,NULL,NULL,5
